,Zeit,Vollständiger Name,Ereigniskontext,Komponente,Ereignisname,Herkunft
3695,7.11.2022 15:09,Student11,Test: Quiz 7,Test,Testversuch eingereicht,web
3700,7.11.2022 15:05,Student18,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
3711,7.11.2022 14:55,Student11,Test: Quiz 7,Test,Testversuch gestartet,web
3718,7.11.2022 14:16,Student11,Test: Quiz 7,Test,Testversuch eingereicht,web
3729,7.11.2022 13:56,Student27,Test: Quiz 5 (Kopie),Test,Testversuch gestartet,web
3732,7.11.2022 13:56,Student27,Test: Quiz 6 (Kopie),Test,Testversuch eingereicht,web
3739,7.11.2022 13:42,Student27,Test: Quiz 6 (Kopie),Test,Testversuch gestartet,web
3742,7.11.2022 13:42,Student27,Test: Quiz 7 (Kopie),Test,Testversuch eingereicht,web
3751,7.11.2022 13:39,Student27,Test: Quiz 7 (Kopie),Test,Testversuch gestartet,web
3754,7.11.2022 13:39,Student27,Test: Quiz 7,Test,Testversuch eingereicht,web
3764,7.11.2022 13:35,Student11,Test: Quiz 7,Test,Testversuch gestartet,web
3766,7.11.2022 13:35,Student27,Test: Quiz 7,Test,Testversuch gestartet,web
3784,7.11.2022 13:23,Student27,Test: Quiz 7,Test,Testversuch eingereicht,web
3795,7.11.2022 13:12,Student27,Test: Quiz 7,Test,Testversuch gestartet,web
3825,7.11.2022 09:35,Student14,Test: Quiz 7,Test,Testversuch eingereicht,web
3832,7.11.2022 09:26,Student14,Test: Quiz 7,Test,Testversuch gestartet,web
3834,7.11.2022 09:25,Student14,Test: Quiz 7,Test,Testversuch eingereicht,web
3837,7.11.2022 09:19,Student14,Test: Quiz 7,Test,Testversuch gestartet,web
3852,7.11.2022 03:11,Student35,Test: Quiz 7,Test,Testversuch eingereicht,web
3860,7.11.2022 02:58,Student35,Test: Quiz 7,Test,Testversuch gestartet,web
3862,7.11.2022 02:58,Student35,Test: Quiz 7,Test,Testversuch eingereicht,web
